Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(8),Glitch(8)",1,41,2.439,"ldr: 3,bne: 2,add: 2,mov: 2,b: 1,stm: 1,bl: 1,pop: 1,lsrs: 1,push: 1,str: 1,cmp: 1,asrs: 1"
"Glitch(1),Glitch(1),Glitch(10),Glitch(5)",1,68,1.471,"ldr: 4,cmp: 2,bne: 2,eors: 1,push: 1,asrs: 1,b: 1,add: 1,lsrs: 1,str: 1,mov: 1,bl: 1"
"Glitch(1),Glitch(1),Glitch(10),Glitch(9)",1,45,2.222,"ldr: 5,push: 2,bne: 2,add: 2,b: 1,str: 1,bl: 1,movs: 1,asrs: 1,stm.w: 1,eors: 1,cmp: 1,mov: 1,lsrs: 1"
"Glitch(1),Glitch(2),Glitch(1),Glitch(2)",2,84,2.381,"bne: 4,ldr: 2,cmp: 2,str: 2,b: 2"
"Glitch(1),Glitch(2),Glitch(3),Glitch(5)",2,81,2.469,"ldr: 4,bne: 4,cmp: 4,asrs: 2,push: 2,b: 2,lsrs: 2,str: 2"
"Glitch(1),Glitch(2),Glitch(4),Glitch(10)",5,75,6.667,"add: 12,ldr: 11,bne: 10,cmp: 10,b: 5,str: 5,mov: 5,lsrs: 5,push: 5,asrs: 5,pop: 4,movs: 4,bx: 2,eors: 1,nop: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(4)",3,249,1.205,"ldr: 7,bne: 6,bl: 3,str: 3,cmp: 3,asrs: 3,b: 3,lsrs: 3,eors: 3,add: 2"
"Glitch(1),Glitch(2),Glitch(6),Glitch(1)",1,49,2.041,"bl: 3,bne: 2,cmp: 2,ldr: 1,add: 1,eors: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(2)",5,72,6.944,"ldr: 15,bne: 10,bl: 6,eors: 5,cmp: 5,add: 5,b: 3,str: 3,add.w: 1,ldm.w: 1,beq: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(4)",2,101,1.980,"ldr: 6,bne: 4,cmp: 4,add: 2,b: 2,asrs: 2,str: 2,lsrs: 2,eors: 2"
"Glitch(1),Glitch(2),Glitch(7),Glitch(4)",1,78,1.282,"ldr: 3,cmp: 2,bne: 2,lsrs: 1,b: 1,eors: 1,stm.w: 1,add: 1,str: 1,asrs: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(1)",1,81,1.235,"bl: 3,ldr: 3,bne: 2,add: 1,stm: 1,mov: 1,cmp: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(9)",1,95,1.053,"add: 3,cmp: 3,ldr: 2,bne: 2,mov: 2,movs: 1,lsrs: 1,push: 1,bl: 1,b: 1,eors: 1,str: 1,asrs: 1"
"Glitch(1),Glitch(2),Glitch(9),Glitch(4)",4,125,3.200,"ldr: 13,cmp: 13,bne: 8,add: 5,bl: 5,mov: 4,eors: 4,b: 3,str: 3,asrs: 2,lsrs: 2,beq: 1,movs: 1"
"Glitch(1),Glitch(2),Glitch(9),Glitch(9)",4,98,4.082,"ldr: 15,add: 10,cmp: 9,bl: 9,bne: 8,mov: 6,eors: 4,lsrs: 3,str: 3,b: 3,asrs: 3,push: 3,movs: 2,beq: 1,ldm.w: 1,pop: 1,add.w: 1,bx: 1,stm.w: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(1)",1,79,1.266,"ldr: 3,bl: 3,bne: 2,cmp: 2,add: 1,mov: 1,eors: 1,stm: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(2)",2,21,9.524,"ldr: 6,cmp: 4,bl: 4,bne: 4,eors: 2,str: 2,mov: 2,add: 2,b: 2,stm: 2"
"Glitch(1),Glitch(2),Glitch(10),Glitch(6)",1,54,1.852,"ldr: 5,add: 2,bne: 2,bl: 2,cmp: 2,movs: 1,str: 1,mov: 1,eors: 1,asrs: 1,b: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(10)",7,153,4.575,"ldr: 25,cmp: 17,add: 15,bne: 14,mov: 14,bl: 11,eors: 7,lsrs: 7,b: 7,str: 7,push: 7,asrs: 7,pop: 6,bx: 6,nop: 4,stm.w: 4,movs: 3"
"Glitch(1),Glitch(3),Glitch(3),Glitch(10)",9,57,15.789,"cmp: 23,bne: 18,ldr: 17,add: 15,asrs: 9,b: 9,str: 9,push: 9,mov: 9,lsrs: 9,pop: 8,nop: 7,bx: 7,bl: 2,movs: 2"
"Glitch(1),Glitch(3),Glitch(4),Glitch(3)",1,50,2.000,"cmp: 3,bne: 2,add: 1,bl: 1,b: 1,asrs: 1,str: 1,ldr: 1"
