Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(6),Glitch(6)",1,36,2.778,"cmp: 2,bne: 2,ldr: 2,lsrs: 1,eors: 1,add: 1,stm.w: 1,asrs: 1,push: 1,b: 1,str: 1"
"Glitch(1),Glitch(1),Glitch(7),Glitch(7)",4,88,4.545,"ldr: 13,bne: 8,add: 8,cmp: 4,asrs: 4,b: 4,bl: 4,str: 4,push: 4,eors: 4,lsrs: 3,mov: 2,movs: 2"
"Glitch(1),Glitch(1),Glitch(7),Glitch(9)",7,101,6.931,"ldr: 23,add: 15,bne: 14,push: 8,str: 7,lsrs: 7,eors: 7,cmp: 7,b: 7,asrs: 7,bx: 5,mov: 5,pop: 5,bl: 4,stm.w: 3,movs: 2"
"Glitch(1),Glitch(1),Glitch(10),Glitch(2)",1,53,1.887,"ldr: 3,bne: 2,cmp: 2,str: 1,b: 1,stm: 1,bl: 1,add: 1,mov: 1,eors: 1"
"Glitch(1),Glitch(2),Glitch(2),Glitch(3)",3,58,5.172,"bne: 6,bl: 3,ldr: 3,str: 3,b: 3,cmp: 3,asrs: 2,movs: 1"
"Glitch(1),Glitch(2),Glitch(2),Glitch(9)",1,43,2.326,"cmp: 2,bne: 2,b: 1,ldr: 1,asrs: 1,lsrs: 1,str: 1,add: 1,push: 1,pop: 1,bx: 1,mov: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(2)",3,52,5.769,"cmp: 9,bne: 6,eors: 3,str: 3,add: 3,b: 3,ldr: 3,bl: 3"
"Glitch(1),Glitch(2),Glitch(6),Glitch(8)",1,79,1.266,"cmp: 3,ldr: 2,add: 2,bne: 2,str: 1,bl: 1,movs: 1,eors: 1,push: 1,b: 1,lsrs: 1,asrs: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(9)",1,59,1.695,"cmp: 3,add: 2,ldr: 2,bne: 2,lsrs: 1,push: 1,eors: 1,b: 1,bx: 1,str: 1,asrs: 1,pop: 1,mov: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(6)",2,33,6.061,"cmp: 4,bl: 4,ldr: 4,bne: 4,add: 3,asrs: 2,push: 2,b: 2,eors: 2,str: 2,lsrs: 2,mov: 1,stm.w: 1,movs: 1"
"Glitch(1),Glitch(2),Glitch(9),Glitch(8)",3,65,4.615,"ldr: 11,cmp: 10,bne: 6,add: 6,mov: 5,bl: 4,stm: 3,push: 2,pop: 2,b: 2,asrs: 2,lsrs: 2,str: 2,ldm.w: 1,stm.w: 1,beq: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(8)",2,203,0.985,"ldr: 6,cmp: 6,bne: 4,mov: 4,add: 4,push: 2,bl: 2,pop: 2,stm.w: 2,eors: 2,str: 2,lsrs: 2,b: 2,asrs: 2"
"Glitch(1),Glitch(3),Glitch(3),Glitch(7)",1,187,0.535,"ldr: 3,add: 2,bne: 2,b: 1,bl: 1,movs: 1,str: 1,push: 1,asrs: 1,cmp: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(9)",2,80,2.500,"ldr: 6,add: 5,cmp: 4,bne: 4,bl: 4,push: 3,asrs: 2,str: 2,movs: 2,b: 2,lsrs: 2"
"Glitch(1),Glitch(3),Glitch(6),Glitch(1)",1,65,1.538,"ldr: 3,bl: 2,cmp: 2,bne: 2,eors: 1,add: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(7)",2,56,3.571,"ldr: 6,bne: 4,cmp: 4,lsrs: 2,stm.w: 2,str: 2,b: 2,eors: 2,asrs: 2,add: 2,push: 2,movs: 2,bl: 2"
"Glitch(1),Glitch(3),Glitch(9),Glitch(4)",1,81,1.235,"ldr: 4,cmp: 3,add: 2,bne: 2,b: 1,mov: 1,bl: 1,movs: 1,str: 1,stm: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(5)",7,131,5.344,"ldr: 28,cmp: 17,bne: 14,bl: 10,add: 9,str: 7,b: 7,mov: 7,asrs: 6,lsrs: 5,push: 4,stm: 4,eors: 3,movs: 3,stm.w: 2"
"Glitch(1),Glitch(3),Glitch(10),Glitch(6)",2,97,2.062,"ldr: 7,cmp: 6,bl: 4,add: 4,bne: 4,eors: 2,push: 2,b: 2,mov: 2,str: 2,stm.w: 2,movs: 1,lsrs: 1,asrs: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(3)",2,71,2.817,"cmp: 8,bne: 4,eors: 2,asrs: 2,b: 2,bl: 2,str: 2"
"Glitch(1),Glitch(4),Glitch(4),Glitch(7)",8,86,9.302,"cmp: 32,bne: 16,add: 12,ldr: 10,asrs: 8,b: 8,lsrs: 8,str: 8,bl: 8,push: 6,movs: 4,mov: 4,eors: 4"
"Glitch(1),Glitch(4),Glitch(5),Glitch(4)",4,114,3.509,"cmp: 12,bne: 8,add: 6,bl: 5,ldr: 5,b: 4,str: 4,movs: 3,beq: 3,eors: 3,asrs: 2,lsrs: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(5)",5,129,3.876,"cmp: 16,ldr: 14,bne: 10,bl: 6,eors: 5,asrs: 4,b: 4,str: 4,push: 3,lsrs: 3,stm.w: 3,add: 1,beq: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(3)",1,38,2.632,"ldr: 3,bne: 2,cmp: 2,asrs: 1,stm.w: 1,str: 1,beq: 1,b: 1,eors: 1,bl: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(10)",1,54,1.852,"cmp: 4,ldr: 3,add: 2,bne: 2,push: 2,movs: 1,lsrs: 1,eors: 1,b: 1,stm.w: 1,asrs: 1,str: 1,bl: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(5)",1,88,1.136,"ldr: 4,cmp: 4,bne: 2,bl: 2,stm.w: 2,eors: 1,add: 1,beq: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(10)",2,71,2.817,"cmp: 6,add: 4,ldr: 4,bl: 4,bne: 4,beq: 2,mov: 2,push: 2,pop: 2,lsrs: 2,str: 2,bx: 2,asrs: 2,eors: 2,b: 2,movs: 1,nop: 1"
"Glitch(1),Glitch(4),Glitch(8),Glitch(4)",4,65,6.154,"cmp: 13,ldr: 13,bl: 9,bne: 8,add: 5,eors: 4,mov: 4,str: 3,b: 3,asrs: 2,movs: 2,beq: 1,lsrs: 1"
"Glitch(1),Glitch(4),Glitch(8),Glitch(9)",4,108,3.704,"ldr: 20,cmp: 9,add: 9,bne: 8,mov: 5,bl: 5,stm.w: 5,push: 4,stm: 4,asrs: 3,b: 3,str: 3,lsrs: 3,movs: 2,ldm.w: 1,beq: 1,add.w: 1,pop: 1,bx: 1"
