Instruction,Targeted,Relative
str,1,0.2510641782
cmp,3,0.1390910026
movs,1,0.1347926160
bl,4,0.0754356030
stm.w,2,0.0490263954
eors,2,0.0377869323
push,2,0.0310271882
beq,3,0.0307041708
ldm.w,2,0.0283967765
mov,2,0.0259443756
ldr,18,0.0259391325
add,7,0.0256496830
pop,1,0.0189342007
add.w,2,0.0182291528
stm,1,0.0093161257
bx,2,0.0054016664
sub,1,0.0000000000
strd,1,0.0000000000
