Instruction,Targeted,Relative
str,1,0.2531606632
cmp,3,0.1408711185
movs,1,0.1328475823
bl,4,0.0738723264
stm.w,2,0.0513252876
eors,2,0.0380158091
push,2,0.0320031086
beq,3,0.0300973167
ldm.w,2,0.0295174901
ldr,18,0.0269081120
add,7,0.0262435976
mov,2,0.0256087425
pop,1,0.0198660714
add.w,2,0.0189753053
stm,1,0.0088167610
bx,2,0.0057539683
sub,1,0.0000000000
strd,1,0.0000000000
