Instruction,Targeted,Relative
str,1,0.2489164118
cmp,3,0.1318155238
movs,1,0.1314014892
bl,4,0.0721530874
stm.w,2,0.0491792550
eors,2,0.0364327279
push,2,0.0306053076
beq,3,0.0293255596
ldm.w,2,0.0268536879
ldr,18,0.0265099625
mov,2,0.0254960317
add,7,0.0250712105
pop,1,0.0182635554
add.w,2,0.0181645873
stm,1,0.0096601140
bx,2,0.0053696479
sub,1,0.0000000000
strd,1,0.0000000000
