Instruction,Targeted,Relative
str,1,0.2514016715
cmp,3,0.1392995149
movs,1,0.1314271461
bl,4,0.0724035114
stm.w,2,0.0492376835
eors,2,0.0378711188
push,2,0.0320512864
beq,3,0.0293372707
ldm.w,2,0.0273329329
mov,2,0.0269405757
ldr,18,0.0264192836
add,7,0.0261276541
pop,1,0.0192979539
add.w,2,0.0180003812
stm,1,0.0094209268
bx,2,0.0054858736
sub,1,0.0000000000
strd,1,0.0000000000
