Instruction,Targeted,Relative
str,1,0.2458086272
cmp,3,0.1332161473
movs,1,0.1307970540
bl,4,0.0726454990
stm.w,2,0.0497547111
eors,2,0.0347882144
push,2,0.0315649352
beq,3,0.0296947310
ldm.w,2,0.0281176100
mov,2,0.0266707734
ldr,18,0.0260255686
add,7,0.0250889219
pop,1,0.0193455653
add.w,2,0.0184376554
stm,1,0.0111832661
bx,2,0.0054463686
strd,1,0.0000000000
sub,1,0.0000000000
