Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(1),Glitch(5)",2,58,3.448,"bne: 4,push: 2,lsrs: 2,b: 2,ldr: 2,asrs: 2,str: 2"
"Glitch(1),Glitch(1),Glitch(8),Glitch(3)",3,45,6.667,"ldr: 12,bne: 6,bl: 3,str: 3,b: 3,mov: 3,asrs: 3,stm: 3,add: 3"
"Glitch(1),Glitch(1),Glitch(8),Glitch(9)",4,66,6.061,"ldr: 9,add: 9,cmp: 8,bne: 8,mov: 7,push: 5,str: 4,eors: 4,bl: 4,asrs: 4,b: 4,lsrs: 4,movs: 3,pop: 2,bx: 1"
"Glitch(1),Glitch(1),Glitch(10),Glitch(4)",2,79,2.532,"ldr: 6,cmp: 4,bne: 4,mov: 2,b: 2,add: 2,str: 2,lsrs: 2,eors: 2,bl: 2,asrs: 2,stm.w: 2"
"Glitch(1),Glitch(2),Glitch(1),Glitch(3)",2,38,5.263,"bne: 4,bl: 3,ldr: 2,beq: 1,cmp: 1,str: 1,asrs: 1,b: 1"
"Glitch(1),Glitch(2),Glitch(2),Glitch(2)",1,155,0.645,"bne: 2,b: 1,bl: 1,str: 1,ldr: 1,cmp: 1"
"Glitch(1),Glitch(2),Glitch(7),Glitch(9)",1,59,1.695,"ldr: 3,cmp: 2,add: 2,bne: 2,push: 1,bx: 1,lsrs: 1,mov: 1,eors: 1,asrs: 1,bl: 1,pop: 1,b: 1,str: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(10)",1,82,1.220,"ldr: 4,add: 3,bne: 2,bl: 2,push: 2,lsrs: 1,b: 1,asrs: 1,movs: 1,cmp: 1,mov: 1,stm: 1,str: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(5)",14,166,8.434,"ldr: 51,cmp: 34,bne: 28,bl: 21,add: 18,mov: 14,eors: 14,str: 13,b: 13,asrs: 11,stm.w: 10,lsrs: 9,push: 8,movs: 5,stm: 2,beq: 1"
"Glitch(1),Glitch(3),Glitch(1),Glitch(5)",1,46,2.174,"ldr: 2,bne: 2,b: 1,asrs: 1,cmp: 1,push: 1,lsrs: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(2)",6,60,10.000,"cmp: 14,bne: 12,ldr: 7,str: 5,b: 5,bl: 4,beq: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(4)",2,86,2.326,"ldr: 4,bne: 4,cmp: 2,b: 2,bl: 2,str: 2,asrs: 2,lsrs: 2"
"Glitch(1),Glitch(3),Glitch(3),Glitch(5)",8,87,9.195,"cmp: 20,bne: 16,ldr: 10,bl: 8,b: 8,str: 8,add: 7,asrs: 6,lsrs: 5,movs: 4,push: 4"
"Glitch(1),Glitch(3),Glitch(4),Glitch(7)",5,131,3.817,"cmp: 16,ldr: 13,bne: 10,add: 5,eors: 5,str: 4,b: 4,asrs: 4,lsrs: 3,push: 3,mov: 2,movs: 2,beq: 1,bl: 1,stm.w: 1,ldm.w: 1"
"Glitch(1),Glitch(3),Glitch(10),Glitch(7)",3,138,2.174,"ldr: 13,cmp: 9,add: 6,bne: 6,mov: 5,push: 3,eors: 3,bl: 3,asrs: 3,b: 3,str: 3,lsrs: 2,stm.w: 2,stm: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(2)",1,90,1.111,"cmp: 4,bne: 2,ldr: 1,b: 1,eors: 1,str: 1,bl: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(10)",2,79,2.532,"ldr: 5,add: 5,bne: 4,cmp: 4,asrs: 2,mov: 2,bl: 2,b: 2,str: 2,stm.w: 2,lsrs: 2,push: 2,movs: 1,nop: 1,bx: 1,pop: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(3)",1,74,1.351,"ldr: 3,cmp: 3,bl: 3,bne: 2,beq: 1,add: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(7)",3,143,2.098,"ldr: 10,bne: 6,add: 6,cmp: 6,bl: 4,asrs: 3,str: 3,b: 3,push: 3,lsrs: 2,eors: 2,movs: 2,mov: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(4)",2,125,1.600,"ldr: 8,cmp: 4,bne: 4,asrs: 2,str: 2,b: 2,eors: 2,bl: 2,stm.w: 2,movs: 1,lsrs: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(6)",4,60,6.667,"cmp: 13,bl: 9,bne: 8,add: 6,ldr: 5,beq: 5,eors: 4,lsrs: 3,str: 3,asrs: 3,b: 3,movs: 2,push: 2,stm.w: 1,ldm.w: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(3)",4,38,10.526,"cmp: 13,ldr: 12,bne: 8,stm.w: 8,eors: 4,add: 4,str: 3,b: 3,asrs: 2,beq: 1,movs: 1,bl: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(5)",3,94,3.191,"cmp: 9,ldr: 9,bne: 6,b: 3,str: 3,add: 3,eors: 3,stm.w: 3,asrs: 3,bl: 3,lsrs: 3,push: 2,movs: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(8)",1,83,1.205,"ldr: 3,cmp: 3,bl: 2,add: 2,bne: 2,mov: 1,asrs: 1,push: 1,lsrs: 1,str: 1,pop: 1,b: 1,eors: 1"
"Glitch(1),Glitch(4),Glitch(8),Glitch(2)",2,51,3.922,"ldr: 7,bne: 4,bl: 4,cmp: 3,beq: 2,add: 2,stm: 1,mov: 1,str: 1,b: 1,eors: 1,stm.w: 1,ldm.w: 1,add.w: 1"
"Glitch(1),Glitch(4),Glitch(8),Glitch(6)",3,159,1.887,"ldr: 11,cmp: 7,bne: 6,add: 6,bl: 6,str: 3,asrs: 3,lsrs: 3,b: 3,eors: 2,push: 2,stm.w: 2,mov: 1,stm: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(8),Glitch(9)",3,81,3.704,"cmp: 9,ldr: 6,mov: 6,add: 6,bl: 6,bne: 6,push: 3,pop: 3,b: 3,beq: 3,eors: 3,asrs: 3,lsrs: 3,str: 3,bx: 2,movs: 1"
"Glitch(1),Glitch(4),Glitch(10),Glitch(8)",4,65,6.154,"ldr: 18,cmp: 13,add: 9,bl: 9,bne: 8,mov: 6,beq: 5,eors: 4,lsrs: 3,push: 3,b: 3,str: 3,asrs: 3,pop: 2,ldm.w: 1,stm.w: 1,movs: 1"
"Glitch(1),Glitch(5),Glitch(2),Glitch(5)",3,137,2.190,"cmp: 13,bne: 6,ldr: 5,bl: 4,str: 2,b: 2,asrs: 1,add: 1,lsrs: 1,stm.w: 1,movs: 1,push: 1,beq: 1"
"Glitch(1),Glitch(5),Glitch(3),Glitch(9)",5,63,7.937,"cmp: 19,bne: 10,ldr: 8,bl: 6,add: 6,push: 5,b: 4,str: 4,asrs: 4,beq: 4,lsrs: 4,mov: 3,stm.w: 3,pop: 2,eors: 2,movs: 2,bx: 2,ldm.w: 1,add.w: 1"
"Glitch(1),Glitch(5),Glitch(3),Glitch(10)",2,86,2.326,"ldr: 7,add: 5,bne: 4,push: 3,asrs: 2,stm.w: 2,str: 2,cmp: 2,bl: 2,b: 2,lsrs: 2,bx: 1,movs: 1,nop: 1,pop: 1,mov: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(4)",2,31,6.452,"cmp: 6,ldr: 6,bne: 4,lsrs: 2,add: 2,asrs: 2,b: 2,bl: 2,eors: 2,str: 2"
"Glitch(1),Glitch(5),Glitch(5),Glitch(5)",2,53,3.774,"cmp: 6,ldr: 4,bne: 4,b: 2,eors: 2,ldm.w: 2,add: 2,str: 2,push: 2,asrs: 2,lsrs: 2,stm.w: 2"
"Glitch(1),Glitch(5),Glitch(5),Glitch(8)",5,119,4.202,"cmp: 16,ldr: 13,stm.w: 11,bne: 10,ldm.w: 6,add: 5,eors: 5,str: 4,b: 4,lsrs: 4,asrs: 4,push: 4,mov: 3,pop: 3,beq: 1,bl: 1,movs: 1"
"Glitch(1),Glitch(5),Glitch(6),Glitch(10)",8,74,10.811,"ldr: 27,cmp: 26,add: 16,bne: 14,push: 9,asrs: 8,eors: 8,lsrs: 8,str: 8,b: 8,mov: 7,pop: 6,bl: 6,bx: 6,nop: 5,stm.w: 4,movs: 3,beq: 3,add.w: 2,ldm.w: 2"
"Glitch(1),Glitch(5),Glitch(7),Glitch(8)",5,73,6.849,"ldr: 15,cmp: 15,add: 12,bne: 10,bl: 9,stm.w: 6,asrs: 5,str: 5,push: 5,lsrs: 5,b: 5,eors: 5,pop: 3,mov: 3,movs: 2"
"Glitch(1),Glitch(5),Glitch(10),Glitch(2)",1,165,0.606,"ldr: 5,cmp: 3,bl: 3,bne: 2,add: 1,stm: 1,beq: 1,mov: 1,eors: 1"
"Glitch(1),Glitch(5),Glitch(10),Glitch(3)",2,142,1.408,"ldr: 8,cmp: 8,bne: 4,bl: 4,eors: 2,b: 2,mov: 2,asrs: 2,stm: 2,str: 2,add: 2"
"Glitch(1),Glitch(5),Glitch(10),Glitch(9)",4,84,4.762,"ldr: 18,cmp: 17,add: 9,bl: 9,bne: 8,mov: 7,beq: 5,eors: 4,str: 3,asrs: 3,push: 3,b: 3,lsrs: 3,bx: 2,pop: 2,movs: 1,stm.w: 1,add.w: 1,ldm.w: 1"
"Glitch(1),Glitch(6),Glitch(2),Glitch(4)",1,113,0.885,"ldr: 3,bne: 2,cmp: 2,stm.w: 1,str: 1,lsrs: 1,b: 1,asrs: 1,bl: 1"
"Glitch(1),Glitch(6),Glitch(3),Glitch(8)",5,59,8.475,"cmp: 18,bne: 10,ldr: 9,stm.w: 6,bl: 6,add: 5,mov: 4,push: 4,ldm.w: 4,lsrs: 4,asrs: 4,b: 4,str: 4,eors: 3,pop: 3,movs: 1,beq: 1"
"Glitch(1),Glitch(6),Glitch(5),Glitch(5)",2,109,1.835,"ldr: 8,cmp: 4,bne: 4,ldm.w: 2,bl: 2,add: 2,push: 2,asrs: 2,str: 2,b: 2,lsrs: 2,stm.w: 2"
"Glitch(1),Glitch(6),Glitch(6),Glitch(10)",6,37,16.216,"ldr: 22,cmp: 19,add: 13,bne: 12,stm.w: 7,bl: 7,ldm.w: 7,eors: 6,push: 5,lsrs: 5,b: 5,mov: 5,asrs: 5,str: 5,bx: 4,nop: 4,pop: 4,add.w: 1,beq: 1,movs: 1"
"Glitch(1),Glitch(6),Glitch(7),Glitch(4)",1,99,1.010,"cmp: 4,ldr: 3,bl: 2,bne: 2,lsrs: 1,stm.w: 1,eors: 1,b: 1,add: 1,asrs: 1,str: 1"
"Glitch(1),Glitch(6),Glitch(7),Glitch(7)",7,160,4.375,"cmp: 29,ldr: 23,bne: 14,add: 14,bl: 12,stm.w: 8,eors: 7,lsrs: 6,b: 6,str: 6,asrs: 6,push: 5,movs: 5,beq: 4,mov: 1,ldm.w: 1"
"Glitch(1),Glitch(6),Glitch(8),Glitch(5)",7,49,14.286,"cmp: 27,ldr: 25,bne: 14,bl: 13,add: 10,stm.w: 8,eors: 7,beq: 6,str: 6,b: 6,asrs: 5,lsrs: 3,movs: 3,push: 3,ldm.w: 2,mov: 2"
"Glitch(1),Glitch(6),Glitch(9),Glitch(2)",2,38,5.263,"ldr: 10,cmp: 6,bl: 5,bne: 4,beq: 3,eors: 2,add: 2,mov: 2,str: 1,b: 1"
"Glitch(1),Glitch(6),Glitch(10),Glitch(4)",2,92,2.174,"ldr: 11,cmp: 7,bl: 5,bne: 4,beq: 3,stm: 2,eors: 2,mov: 2,add: 2,lsrs: 1,b: 1,str: 1,asrs: 1"
"Glitch(1),Glitch(7),Glitch(3),Glitch(8)",3,133,2.256,"cmp: 10,add: 6,bne: 6,ldr: 5,asrs: 3,b: 3,bl: 3,ldm.w: 3,push: 3,stm.w: 3,str: 3,lsrs: 3,mov: 2,pop: 2,eors: 1,movs: 1"
"Glitch(1),Glitch(7),Glitch(4),Glitch(2)",3,98,3.061,"ldr: 12,bne: 6,cmp: 6,ldm.w: 4,bl: 4,add: 3,stm.w: 3,beq: 1,b: 1,add.w: 1,str: 1"
"Glitch(1),Glitch(7),Glitch(5),Glitch(2)",2,150,1.333,"ldr: 8,bne: 4,cmp: 4,add: 2,str: 2,add.w: 2,stm.w: 2,b: 2,eors: 2,ldm.w: 2"
"Glitch(1),Glitch(7),Glitch(5),Glitch(9)",11,124,8.871,"cmp: 40,ldr: 37,bne: 21,add: 17,add.w: 12,push: 11,lsrs: 10,b: 10,str: 10,bl: 10,asrs: 10,beq: 9,eors: 9,mov: 8,pop: 8,bx: 7,ldm.w: 5,stm.w: 5,movs: 3"
"Glitch(1),Glitch(7),Glitch(9),Glitch(4)",6,113,5.310,"ldr: 26,cmp: 22,bl: 12,bne: 12,add: 7,stm.w: 6,b: 6,str: 6,mov: 6,beq: 5,asrs: 5,eors: 5,lsrs: 4,movs: 2,stm: 1,ldm.w: 1"
"Glitch(1),Glitch(7),Glitch(10),Glitch(6)",6,86,6.977,"ldr: 31,cmp: 24,add: 12,bne: 12,bl: 12,eors: 6,beq: 6,str: 6,mov: 6,b: 6,stm.w: 6,push: 5,asrs: 4,lsrs: 3,movs: 3,stm: 2"
"Glitch(1),Glitch(8),Glitch(1),Glitch(3)",2,40,5.000,"ldr: 4,cmp: 4,bne: 4,beq: 2,stm.w: 2,add.w: 2,b: 2,asrs: 2,str: 2,ldm.w: 2"
"Glitch(1),Glitch(8),Glitch(1),Glitch(10)",2,40,5.000,"cmp: 4,bne: 4,ldr: 4,add: 3,add.w: 2,pop: 2,b: 2,str: 2,asrs: 2,bl: 2,ldm.w: 2,push: 2,stm.w: 2,lsrs: 2,mov: 2,movs: 1,bx: 1,nop: 1"
"Glitch(1),Glitch(8),Glitch(3),Glitch(1)",1,37,2.703,"cmp: 3,ldr: 3,bne: 2,add.w: 1,beq: 1,ldm.w: 1,stm.w: 1,bl: 1"
