Instruction,Targeted,Relative
b,1,0.5839826840
str,1,0.5404401154
movs,1,0.4086219336
adds,1,0.2961760462
ldr,6,0.2471741222
bne,42,0.2309334845
mov,2,0.1825396825
cmp,42,0.1645554181
bl,4,0.1276875902
add,6,0.0924062049
cbz,1,0.0588383838
ldrb,42,0.0263158799
push,3,0.0094276094
blo,1,0.0000000000
pop,2,0.0000000000
bx,3,0.0000000000
mov.w,1,0.0000000000
