Instruction,Targeted,Relative
pop,1,0.4015873016
movs,1,0.4015873016
beq,1,0.2126190476
bl,5,0.1661269841
ldr,8,0.1138640873
add,6,0.0796560847
cmp,1,0.0647222222
str,1,0.0000000000
mov,1,0.0000000000
push,3,0.0000000000
bx,3,0.0000000000
