Instruction,Targeted,Relative
movs,1,0.1000000000
pop,1,0.1000000000
cmp,1,0.1000000000
bl,5,0.0400000000
ldr,8,0.0375000000
add,6,0.0166666667
mov,1,0.0000000000
beq,1,0.0000000000
bx,3,0.0000000000
push,3,0.0000000000
str,1,0.0000000000
