Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(2),Glitch(2),Glitch(3)",1,186,0.538,"cmp: 2,bne: 2,asrs: 1,ldr: 1,str: 1,b: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(5)",4,189,2.116,"cmp: 9,bne: 8,ldr: 7,add: 5,bl: 5,eors: 4,str: 3,movs: 3,b: 3,stm.w: 2,lsrs: 1,asrs: 1,beq: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(7)",1,129,0.775,"cmp: 3,bne: 2,ldr: 1,eors: 1,stm.w: 1,str: 1,push: 1,asrs: 1,b: 1,lsrs: 1,mov: 1,add: 1"
"Glitch(1),Glitch(2),Glitch(7),Glitch(3)",1,93,1.075,"ldr: 2,cmp: 2,bne: 2,add: 1,b: 1,asrs: 1,stm.w: 1,bl: 1,str: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(3)",2,71,2.817,"bne: 4,cmp: 4,str: 2,asrs: 2,bl: 2,ldr: 2,b: 2"
"Glitch(1),Glitch(3),Glitch(10),Glitch(3)",1,83,1.205,"ldr: 5,cmp: 2,bne: 2,eors: 1,asrs: 1,stm.w: 1,add: 1,bl: 1,mov: 1,b: 1,str: 1"
"Glitch(1),Glitch(4),Glitch(1),Glitch(7)",1,54,1.852,"cmp: 3,bne: 2,str: 1,asrs: 1,bl: 1,lsrs: 1,push: 1,add: 1,b: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(1),Glitch(8)",4,107,3.738,"ldr: 8,bne: 8,cmp: 5,str: 4,push: 4,lsrs: 4,b: 4,add: 4,asrs: 4,mov: 3,stm.w: 3,movs: 2,pop: 2,bl: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(7)",1,74,1.351,"cmp: 3,ldr: 2,bne: 2,movs: 1,bl: 1,push: 1,str: 1,b: 1,asrs: 1,add: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(6)",4,222,1.802,"cmp: 12,bne: 8,ldr: 6,str: 4,b: 4,asrs: 4,lsrs: 4,bl: 4,add: 4,push: 3,eors: 2,movs: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(9)",2,203,0.985,"add: 5,bne: 4,cmp: 4,push: 2,ldr: 2,bl: 2,beq: 2,asrs: 2,b: 2,lsrs: 2,str: 2,mov: 2,movs: 1,bx: 1,pop: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(10)",3,37,8.108,"cmp: 12,bne: 6,bl: 3,pop: 3,str: 3,b: 3,asrs: 3,nop: 3,add: 3,push: 3,lsrs: 3,ldr: 3,bx: 3,mov: 3"
"Glitch(1),Glitch(4),Glitch(6),Glitch(9)",1,93,1.075,"cmp: 3,add: 2,bne: 2,ldr: 2,asrs: 1,beq: 1,str: 1,stm.w: 1,movs: 1,lsrs: 1,mov: 1,push: 1,b: 1,bl: 1,eors: 1"
