Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(1),Glitch(9)",2,55,3.636,"bne: 4,add: 3,ldr: 2,asrs: 2,lsrs: 2,b: 2,str: 2,mov: 2,push: 2,bx: 1,pop: 1,movs: 1"
"Glitch(1),Glitch(1),Glitch(6),Glitch(8)",2,71,2.817,"ldr: 7,bne: 4,stm.w: 2,eors: 2,push: 2,b: 2,lsrs: 2,asrs: 2,add: 2,cmp: 2,str: 2,movs: 1,pop: 1,mov: 1"
"Glitch(1),Glitch(1),Glitch(10),Glitch(3)",3,62,4.839,"ldr: 15,bne: 6,mov: 3,str: 3,bl: 3,b: 3,eors: 3,cmp: 3,add: 3,asrs: 2,movs: 1"
"Glitch(1),Glitch(2),Glitch(2),Glitch(4)",4,132,3.030,"cmp: 10,bne: 8,str: 4,b: 4,movs: 3,bl: 2,add: 2,asrs: 2,lsrs: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(8)",3,163,1.840,"ldr: 9,add: 6,bne: 6,bl: 4,cmp: 4,eors: 3,push: 2,lsrs: 2,asrs: 2,str: 2,b: 2,stm.w: 1,beq: 1,ldm.w: 1,movs: 1,mov: 1,pop: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(4)",1,126,0.794,"cmp: 4,ldr: 2,bne: 2,bl: 2,beq: 1,eors: 1,add: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(5)",1,78,1.282,"ldr: 4,bne: 2,bl: 2,cmp: 2,add: 1,beq: 1,eors: 1,stm.w: 1"
"Glitch(1),Glitch(2),Glitch(7),Glitch(7)",1,33,3.030,"cmp: 3,bne: 2,ldr: 2,add: 2,movs: 1,b: 1,eors: 1,lsrs: 1,asrs: 1,stm.w: 1,push: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(8)",1,51,1.961,"ldr: 3,bne: 2,add: 2,str: 1,lsrs: 1,b: 1,asrs: 1,bl: 1,push: 1,movs: 1,cmp: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(9)",4,73,5.479,"add: 10,ldr: 9,cmp: 8,bne: 8,b: 4,str: 4,push: 4,lsrs: 4,asrs: 4,mov: 3,movs: 2,bx: 2,pop: 2"
"Glitch(1),Glitch(3),Glitch(4),Glitch(5)",2,116,1.724,"cmp: 6,bne: 4,ldr: 4,add: 3,b: 2,movs: 2,asrs: 2,str: 2,lsrs: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(9)",1,161,0.621,"ldr: 4,bne: 2,push: 2,add: 2,str: 1,bl: 1,asrs: 1,lsrs: 1,b: 1,cmp: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(10)",2,70,2.857,"ldr: 6,cmp: 4,bne: 4,b: 2,str: 2,eors: 2,lsrs: 2,add: 2,bl: 2,pop: 2,bx: 2,asrs: 2,push: 2,mov: 2,movs: 1,nop: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(1)",2,143,1.399,"ldr: 7,bl: 6,bne: 4,cmp: 4,add: 2,mov: 2,eors: 1,stm: 1,stm.w: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(9)",4,91,4.396,"ldr: 15,cmp: 13,add: 9,bne: 8,mov: 6,bl: 5,stm.w: 5,eors: 4,b: 3,push: 3,asrs: 3,lsrs: 3,str: 3,pop: 2,movs: 2,beq: 1,bx: 1,ldm.w: 1,add.w: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(4)",2,96,2.083,"bne: 4,ldr: 4,cmp: 4,b: 2,stm.w: 2,str: 2,add: 1,movs: 1,lsrs: 1,asrs: 1"
