Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(7),Glitch(2)",3,100,3.000,"cmp: 6,bne: 6,ldr: 6,add: 3,bl: 3,eors: 3,b: 2,str: 2,ldm.w: 1,add.w: 1"
"Glitch(1),Glitch(1),Glitch(8),Glitch(3)",3,37,8.108,"ldr: 9,bne: 6,bl: 4,cmp: 4,add: 3,eors: 3,mov: 3,b: 2,asrs: 2,str: 2,beq: 1"
"Glitch(1),Glitch(2),Glitch(3),Glitch(6)",6,173,3.468,"bne: 12,ldr: 11,cmp: 8,add: 6,b: 5,str: 5,push: 4,asrs: 4,lsrs: 4,bl: 4,movs: 3,eors: 3,ldm.w: 1,stm.w: 1,beq: 1"
"Glitch(1),Glitch(2),Glitch(6),Glitch(5)",1,52,1.923,"cmp: 3,bne: 2,add: 2,b: 1,eors: 1,ldr: 1,movs: 1,str: 1,asrs: 1,bl: 1"
"Glitch(1),Glitch(2),Glitch(7),Glitch(3)",1,107,0.935,"bl: 3,cmp: 3,bne: 2,ldr: 2,beq: 1,add: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(8)",1,169,0.592,"cmp: 3,bne: 2,mov: 1,push: 1,str: 1,pop: 1,add: 1,lsrs: 1,b: 1,asrs: 1,bl: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(2)",1,34,2.941,"cmp: 3,bne: 2,b: 1,ldr: 1,str: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(4)",1,119,0.840,"cmp: 3,bne: 2,ldr: 2,asrs: 1,str: 1,add: 1,eors: 1,lsrs: 1,b: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(9)",1,92,1.087,"cmp: 3,ldr: 2,bl: 2,bne: 2,add: 2,push: 2,b: 1,movs: 1,str: 1,lsrs: 1,asrs: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(7)",1,67,1.493,"cmp: 3,ldr: 3,add: 2,bne: 2,str: 1,eors: 1,asrs: 1,b: 1,bl: 1,movs: 1,push: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(8)",2,34,5.882,"cmp: 6,bl: 4,bne: 4,add: 4,ldr: 3,movs: 2,lsrs: 2,b: 2,push: 2,str: 2,eors: 2,asrs: 2,mov: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(9)",3,93,3.226,"cmp: 10,ldr: 9,add: 7,bne: 6,bl: 4,eors: 3,lsrs: 2,asrs: 2,movs: 2,str: 2,b: 2,push: 2,ldm.w: 1,pop: 1,beq: 1,stm.w: 1,mov: 1,add.w: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(10)",1,62,1.613,"add: 3,ldr: 3,cmp: 2,bne: 2,bl: 2,asrs: 1,mov: 1,b: 1,lsrs: 1,movs: 1,eors: 1,push: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(8),Glitch(5)",3,115,2.609,"ldr: 11,cmp: 10,bne: 6,add: 5,bl: 4,eors: 3,str: 2,mov: 2,stm.w: 2,b: 2,movs: 2,beq: 1,asrs: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(4)",2,98,2.041,"ldr: 9,cmp: 5,bl: 5,bne: 4,stm: 2,mov: 2,add: 2,b: 1,asrs: 1,beq: 1,lsrs: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(10)",2,69,2.899,"cmp: 6,ldr: 6,add: 5,mov: 4,bl: 4,bne: 4,b: 2,pop: 2,asrs: 2,lsrs: 2,push: 2,eors: 2,str: 2,nop: 1,bx: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(10),Glitch(10)",3,92,3.261,"ldr: 20,add: 8,cmp: 6,bne: 6,mov: 5,push: 4,b: 3,str: 3,movs: 3,lsrs: 3,bl: 3,asrs: 3,eors: 3,bx: 1,pop: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(10)",5,70,7.143,"ldr: 13,cmp: 11,bne: 10,bl: 6,add: 6,pop: 4,lsrs: 4,str: 4,asrs: 4,push: 4,mov: 4,b: 4,bx: 3,movs: 2,nop: 2,add.w: 1,stm.w: 1,beq: 1,ldm.w: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(5)",1,103,0.971,"cmp: 3,ldr: 2,bne: 2,eors: 1,asrs: 1,lsrs: 1,push: 1,stm.w: 1,b: 1,str: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(7)",2,152,1.316,"ldr: 4,bne: 4,add: 4,cmp: 4,asrs: 2,bl: 2,str: 2,stm.w: 2,b: 2,push: 2,lsrs: 2,mov: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(2)",1,105,0.952,"ldr: 3,cmp: 3,bne: 2,stm.w: 1,eors: 1,b: 1,str: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(7)",4,109,3.670,"ldr: 12,cmp: 12,bne: 8,add: 6,stm.w: 6,asrs: 4,push: 4,str: 4,lsrs: 4,eors: 4,b: 4,mov: 3,movs: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(4)",1,77,1.299,"ldr: 3,bl: 2,cmp: 2,bne: 2,lsrs: 1,str: 1,asrs: 1,add: 1,beq: 1,b: 1,eors: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(5)",1,98,1.020,"cmp: 4,ldr: 4,bl: 3,bne: 2,add: 1,stm.w: 1,beq: 1,eors: 1"
