Instruction,Targeted,Relative
str,1,0.1885538740
cmp,3,0.1100296129
movs,1,0.1036420078
bl,4,0.0609119677
stm.w,2,0.0441644917
eors,2,0.0328982095
ldm.w,2,0.0275837064
beq,3,0.0264086900
push,2,0.0238471345
ldr,18,0.0231651888
add,7,0.0211804942
mov,2,0.0208062966
add.w,2,0.0177603006
pop,1,0.0140501637
stm,1,0.0071045157
bx,2,0.0039957635
sub,1,0.0000000000
strd,1,0.0000000000
