Instruction,Targeted,Relative
str,1,0.1876292226
cmp,3,0.1081117725
movs,1,0.1009245693
bl,4,0.0594991563
stm.w,2,0.0430577601
eors,2,0.0308823430
beq,3,0.0260925982
ldm.w,2,0.0258383784
push,2,0.0221097036
ldr,18,0.0220392181
add,7,0.0203494995
mov,2,0.0201068376
add.w,2,0.0161387956
pop,1,0.0129938272
stm,1,0.0077884615
bx,2,0.0036419753
strd,1,0.0000000000
sub,1,0.0000000000
