Instruction,Targeted,Relative
str,1,0.1793941933
cmp,3,0.1098679135
movs,1,0.0964454557
bl,4,0.0590611128
stm.w,2,0.0457500986
eors,2,0.0319140528
ldm.w,2,0.0257727965
beq,3,0.0245583325
push,2,0.0232957864
ldr,18,0.0218344829
add,7,0.0209314706
mov,2,0.0201376112
add.w,2,0.0176578631
pop,1,0.0138352244
stm,1,0.0073418174
bx,2,0.0040593376
strd,1,0.0000000000
sub,1,0.0000000000
