Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(4),Glitch(8)",1,54,1.852,"ldr: 2,bne: 2,eors: 1,str: 1,lsrs: 1,push: 1,b: 1,mov: 1,movs: 1,add: 1,cmp: 1,asrs: 1"
"Glitch(1),Glitch(1),Glitch(5),Glitch(6)",1,141,0.709,"bne: 2,ldr: 2,add: 2,asrs: 1,lsrs: 1,b: 1,cmp: 1,str: 1,movs: 1,bl: 1"
"Glitch(1),Glitch(1),Glitch(10),Glitch(4)",1,62,1.613,"ldr: 4,bne: 2,bl: 1,cmp: 1,add: 1,eors: 1,b: 1,stm: 1,asrs: 1,str: 1,mov: 1,lsrs: 1"
"Glitch(1),Glitch(2),Glitch(2),Glitch(4)",1,105,0.952,"cmp: 2,bl: 2,ldr: 2,bne: 2,beq: 1"
"Glitch(1),Glitch(2),Glitch(3),Glitch(7)",1,117,0.855,"add: 2,cmp: 2,bne: 2,ldr: 2,movs: 1,lsrs: 1,str: 1,asrs: 1,b: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(9)",4,60,6.667,"add: 9,cmp: 9,bne: 8,bl: 7,push: 5,ldr: 5,lsrs: 4,str: 4,asrs: 4,b: 4,mov: 3,bx: 2,movs: 2,pop: 2"
"Glitch(1),Glitch(3),Glitch(5),Glitch(2)",1,165,0.606,"ldr: 2,bne: 2,cmp: 2,b: 1,stm.w: 1,eors: 1,bl: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(3)",3,52,5.769,"ldr: 9,bne: 6,cmp: 6,asrs: 3,str: 3,bl: 3,b: 3,add: 3"
"Glitch(1),Glitch(3),Glitch(5),Glitch(8)",1,61,1.639,"ldr: 3,cmp: 2,bne: 2,str: 1,lsrs: 1,eors: 1,stm.w: 1,add: 1,push: 1,asrs: 1,b: 1,mov: 1,pop: 1"
"Glitch(1),Glitch(3),Glitch(7),Glitch(6)",2,212,0.943,"ldr: 8,cmp: 5,bne: 4,bl: 3,add: 3,stm.w: 3,eors: 2,asrs: 1,beq: 1,movs: 1,str: 1,ldm.w: 1,b: 1"
"Glitch(1),Glitch(3),Glitch(7),Glitch(9)",3,108,2.778,"ldr: 11,bl: 7,cmp: 7,bne: 6,add: 6,eors: 3,mov: 2,push: 2,bx: 2,b: 2,str: 2,lsrs: 2,asrs: 2,pop: 2,beq: 1,stm.w: 1,add.w: 1,ldm.w: 1"
"Glitch(1),Glitch(3),Glitch(8),Glitch(7)",1,159,0.629,"cmp: 3,mov: 2,bne: 2,add: 2,ldr: 2,bl: 2,str: 1,push: 1,asrs: 1,eors: 1,lsrs: 1,b: 1"
"Glitch(1),Glitch(3),Glitch(8),Glitch(9)",3,99,3.030,"ldr: 16,add: 6,bne: 6,mov: 5,push: 4,str: 3,asrs: 3,b: 3,bl: 3,lsrs: 3,stm: 3,cmp: 3,pop: 2,bx: 2,movs: 1"
"Glitch(1),Glitch(3),Glitch(8),Glitch(10)",4,112,3.571,"ldr: 20,add: 9,bne: 8,cmp: 8,mov: 7,bl: 5,movs: 3,pop: 3,push: 3,str: 3,lsrs: 3,eors: 3,asrs: 3,b: 3,bx: 2,ldm.w: 1,stm: 1,beq: 1,stm.w: 1,add.w: 1"
"Glitch(1),Glitch(3),Glitch(10),Glitch(8)",8,129,6.202,"ldr: 36,cmp: 22,add: 18,bne: 16,bl: 16,mov: 12,eors: 8,b: 7,push: 7,asrs: 7,str: 7,lsrs: 7,movs: 5,stm.w: 4,pop: 2,beq: 1,ldm.w: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(7)",1,38,2.632,"bne: 2,ldr: 2,cmp: 2,bl: 1,mov: 1,eors: 1,str: 1,add: 1,push: 1,asrs: 1,b: 1,lsrs: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(10)",2,125,1.600,"add: 5,bne: 4,cmp: 4,ldr: 3,asrs: 2,lsrs: 2,b: 2,mov: 2,beq: 2,push: 2,bl: 2,str: 2,nop: 1,bx: 1,pop: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(4)",3,126,2.381,"cmp: 8,bne: 6,ldr: 5,bl: 5,add: 4,b: 3,str: 3,movs: 2,lsrs: 1,asrs: 1,eors: 1"
"Glitch(1),Glitch(4),Glitch(4),Glitch(5)",9,111,8.108,"ldr: 28,cmp: 19,bne: 18,stm.w: 10,asrs: 8,str: 8,eors: 8,b: 8,lsrs: 6,push: 6,add: 3,movs: 2,beq: 1,bl: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(6)",1,70,1.429,"cmp: 3,bne: 2,eors: 1,add: 1,b: 1,stm.w: 1,asrs: 1,push: 1,bl: 1,lsrs: 1,beq: 1,ldr: 1,str: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(4)",4,26,15.385,"ldr: 15,cmp: 9,bne: 8,bl: 7,eors: 4,str: 3,b: 3,add: 3,stm.w: 2,movs: 2,asrs: 2,beq: 1,lsrs: 1"
"Glitch(1),Glitch(4),Glitch(9),Glitch(3)",1,107,0.935,"ldr: 5,cmp: 2,bne: 2,bl: 2,str: 1,b: 1,eors: 1,movs: 1,mov: 1,add: 1"
"Glitch(1),Glitch(4),Glitch(10),Glitch(2)",3,92,3.261,"ldr: 14,cmp: 7,bne: 6,bl: 4,eors: 3,b: 3,str: 3,add: 3,mov: 3,stm.w: 3,stm: 2"
"Glitch(1),Glitch(5),Glitch(1),Glitch(7)",2,107,1.869,"ldr: 5,bne: 4,str: 2,ldm.w: 2,stm.w: 2,lsrs: 2,cmp: 2,b: 2,asrs: 2,add: 2,movs: 1,push: 1,mov: 1"
"Glitch(1),Glitch(5),Glitch(3),Glitch(2)",2,70,2.857,"cmp: 8,bne: 4,b: 2,beq: 2,bl: 2,str: 2,eors: 1,ldr: 1"
"Glitch(1),Glitch(5),Glitch(4),Glitch(9)",5,35,14.286,"cmp: 16,ldr: 14,bne: 10,add: 8,stm.w: 6,bl: 6,push: 5,asrs: 4,lsrs: 4,str: 4,b: 4,eors: 3,pop: 2,bx: 2,mov: 2,movs: 2,ldm.w: 1,beq: 1,add.w: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(1)",1,129,0.775,"ldr: 5,ldm.w: 1,cmp: 1,add.w: 1,stm.w: 1,bne: 1,eors: 1,bl: 1"
"Glitch(1),Glitch(5),Glitch(6),Glitch(4)",2,109,1.835,"ldr: 8,bne: 4,cmp: 4,add: 3,b: 2,str: 2,ldm.w: 2,stm.w: 2,eors: 2,movs: 1,lsrs: 1,asrs: 1"
