Instruction,Targeted,Relative
str,1,0.1822971879
cmp,3,0.1081098561
movs,1,0.1010907440
bl,4,0.0585033951
stm.w,2,0.0433256562
eors,2,0.0319977722
ldm.w,2,0.0254087880
beq,3,0.0251191878
push,2,0.0228622434
ldr,18,0.0217881409
add,7,0.0200041515
mov,2,0.0194886141
add.w,2,0.0164917410
pop,1,0.0115951364
stm,1,0.0082400864
bx,2,0.0032476934
strd,1,0.0000245387
sub,1,0.0000000000
