Instruction,Targeted,Relative
str,1,0.1893448989
cmp,3,0.1142475015
movs,1,0.1037188814
bl,4,0.0613859848
stm.w,2,0.0456013431
eors,2,0.0323558964
ldm.w,2,0.0269813289
beq,3,0.0260054889
push,2,0.0237600478
ldr,18,0.0229894981
add,7,0.0216573638
mov,2,0.0209172348
add.w,2,0.0171284425
pop,1,0.0147109449
stm,1,0.0076086182
bx,2,0.0043839031
strd,1,0.0000000000
sub,1,0.0000000000
