Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(4),Glitch(4)",1,119,0.840,"cmp: 3,ldr: 2,bne: 2,eors: 1,beq: 1,bl: 1"
"Glitch(1),Glitch(1),Glitch(8),Glitch(4)",3,94,3.191,"ldr: 9,bne: 6,add: 4,cmp: 3,bl: 3,str: 3,mov: 3,eors: 3,b: 3,asrs: 2,lsrs: 2,movs: 1"
"Glitch(1),Glitch(1),Glitch(8),Glitch(8)",1,105,0.952,"ldr: 3,add: 2,mov: 2,bne: 2,b: 1,pop: 1,bl: 1,push: 1,cmp: 1,eors: 1,asrs: 1,lsrs: 1,str: 1"
"Glitch(1),Glitch(2),Glitch(1),Glitch(5)",1,60,1.667,"bne: 2,cmp: 1,b: 1,push: 1,str: 1,lsrs: 1,asrs: 1,ldr: 1"
"Glitch(1),Glitch(2),Glitch(9),Glitch(6)",3,25,12.000,"ldr: 8,cmp: 6,bl: 6,add: 6,bne: 6,str: 3,mov: 3,stm.w: 3,eors: 3,b: 3,push: 2,movs: 2,asrs: 2,lsrs: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(6)",4,29,13.793,"bne: 8,cmp: 8,ldr: 5,bl: 4,add: 4,b: 4,asrs: 4,str: 4,lsrs: 3,movs: 2,push: 2"
"Glitch(1),Glitch(3),Glitch(2),Glitch(9)",2,77,2.597,"bne: 4,cmp: 4,ldr: 4,add: 3,mov: 2,asrs: 2,b: 2,str: 2,push: 2,lsrs: 2,movs: 1,pop: 1,bx: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(5)",1,116,0.862,"cmp: 2,add: 2,bne: 2,ldr: 2,b: 1,str: 1,bl: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(10)",3,29,10.345,"ldr: 8,bne: 6,add: 5,cmp: 5,bl: 4,pop: 2,mov: 2,bx: 2,lsrs: 2,push: 2,str: 2,asrs: 2,b: 2,movs: 1,ldm.w: 1,beq: 1,stm.w: 1,add.w: 1,nop: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(2)",6,177,3.390,"cmp: 18,ldr: 16,bne: 12,eors: 6,str: 4,b: 4,bl: 2,add: 1,add.w: 1,ldm.w: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(3)",1,126,0.794,"ldr: 3,cmp: 3,bne: 2,b: 1,eors: 1,asrs: 1,str: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(10)",2,73,2.740,"cmp: 6,bl: 4,bne: 4,add: 4,ldr: 2,asrs: 2,eors: 2,mov: 2,push: 2,b: 2,str: 2,bx: 2,pop: 2,lsrs: 2,nop: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(7),Glitch(2)",1,106,0.943,"cmp: 3,bne: 2,ldr: 2,bl: 2,add: 1,eors: 1,b: 1,str: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(3)",4,85,4.706,"cmp: 14,bne: 8,ldr: 7,bl: 6,eors: 3,str: 3,b: 3,add: 3,asrs: 2,movs: 1,beq: 1,stm.w: 1"
"Glitch(1),Glitch(4),Glitch(7),Glitch(8)",2,161,1.242,"ldr: 7,cmp: 6,bne: 4,add: 4,bl: 2,str: 2,push: 2,stm.w: 2,eors: 2,asrs: 2,lsrs: 2,b: 2,mov: 1,movs: 1,pop: 1"
"Glitch(1),Glitch(4),Glitch(8),Glitch(2)",6,132,4.545,"ldr: 21,cmp: 14,bne: 12,bl: 12,add: 6,eors: 5,str: 5,b: 5,mov: 4,stm.w: 2,stm: 1,ldm.w: 1,add.w: 1,beq: 1"
"Glitch(1),Glitch(4),Glitch(9),Glitch(9)",2,66,3.030,"ldr: 8,add: 5,mov: 4,cmp: 4,bne: 4,bl: 4,asrs: 2,b: 2,str: 2,push: 2,beq: 2,stm: 2,lsrs: 2,movs: 1,pop: 1,bx: 1"
"Glitch(1),Glitch(4),Glitch(10),Glitch(3)",1,64,1.562,"ldr: 5,cmp: 3,bl: 2,bne: 2,mov: 1,asrs: 1,eors: 1,b: 1,str: 1,add: 1"
"Glitch(1),Glitch(5),Glitch(1),Glitch(9)",1,129,0.775,"cmp: 2,push: 2,ldr: 2,bne: 2,lsrs: 1,stm.w: 1,b: 1,str: 1,add: 1,movs: 1,bl: 1,asrs: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(9)",3,142,2.113,"ldr: 10,stm.w: 6,bne: 6,cmp: 6,add: 5,push: 3,bl: 3,eors: 3,asrs: 3,str: 3,b: 3,lsrs: 3,mov: 2,movs: 2,bx: 1,pop: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(10)",3,151,1.987,"ldr: 12,cmp: 9,bne: 6,stm.w: 6,add: 4,eors: 3,ldm.w: 3,lsrs: 2,bl: 2,asrs: 2,str: 2,b: 2,push: 2,mov: 2,bx: 1,add.w: 1,movs: 1,beq: 1,pop: 1,nop: 1"
"Glitch(1),Glitch(5),Glitch(6),Glitch(8)",1,38,2.632,"cmp: 4,bne: 2,add: 2,ldr: 2,eors: 1,beq: 1,lsrs: 1,push: 1,movs: 1,b: 1,asrs: 1,mov: 1,str: 1,bl: 1"
"Glitch(1),Glitch(5),Glitch(7),Glitch(2)",2,108,1.852,"ldr: 8,stm.w: 4,cmp: 4,bne: 4,bl: 2,add: 2,eors: 2,str: 2,b: 2"
"Glitch(1),Glitch(5),Glitch(9),Glitch(4)",2,66,3.030,"ldr: 11,cmp: 5,bne: 4,bl: 3,stm: 2,add: 2,mov: 2,stm.w: 2,ldm.w: 2,movs: 1,beq: 1,asrs: 1,str: 1,b: 1"
"Glitch(1),Glitch(5),Glitch(10),Glitch(2)",1,125,0.800,"ldr: 4,cmp: 3,bne: 2,bl: 2,stm: 1,str: 1,add: 1,beq: 1,mov: 1,b: 1,eors: 1"
"Glitch(1),Glitch(5),Glitch(10),Glitch(9)",2,88,2.273,"ldr: 10,cmp: 6,bne: 4,add: 4,mov: 4,bl: 4,str: 2,push: 2,b: 2,lsrs: 2,asrs: 2,stm.w: 2,pop: 2,eors: 2,bx: 1,movs: 1"
"Glitch(1),Glitch(6),Glitch(1),Glitch(2)",1,44,2.273,"bl: 2,cmp: 2,ldr: 2,bne: 2,beq: 1,stm.w: 1"
"Glitch(1),Glitch(6),Glitch(2),Glitch(9)",5,29,17.241,"cmp: 18,ldr: 13,bne: 10,stm.w: 7,add: 6,bl: 5,ldm.w: 4,asrs: 3,str: 3,b: 3,push: 3,mov: 3,lsrs: 3,pop: 2,beq: 2,bx: 2,add.w: 2,movs: 1"
"Glitch(1),Glitch(6),Glitch(3),Glitch(5)",2,56,3.571,"cmp: 7,ldr: 6,bne: 4,beq: 3,bl: 3,eors: 2,b: 1,add: 1,stm.w: 1,str: 1,movs: 1"
"Glitch(1),Glitch(6),Glitch(3),Glitch(7)",6,129,4.651,"ldr: 20,cmp: 15,bne: 12,add: 8,stm.w: 7,bl: 7,push: 5,str: 5,asrs: 5,b: 5,mov: 4,lsrs: 4,ldm.w: 3,movs: 1,beq: 1"
"Glitch(1),Glitch(6),Glitch(3),Glitch(8)",1,75,1.333,"cmp: 3,bne: 2,ldr: 2,stm.w: 1,bl: 1,b: 1,asrs: 1,str: 1,pop: 1,lsrs: 1,push: 1,add: 1,ldm.w: 1,mov: 1"
"Glitch(1),Glitch(6),Glitch(5),Glitch(6)",1,118,0.847,"cmp: 4,bne: 2,ldr: 2,add: 2,asrs: 1,bl: 1,beq: 1,eors: 1,push: 1,lsrs: 1,str: 1,b: 1"
"Glitch(1),Glitch(6),Glitch(5),Glitch(7)",2,102,1.961,"ldr: 10,bne: 2,add.w: 2,cmp: 2,beq: 2,push: 2,add: 2,asrs: 2,stm.w: 2,str: 2,b: 2,mov: 2,lsrs: 2,ldm.w: 2,eors: 2"
"Glitch(1),Glitch(6),Glitch(5),Glitch(10)",4,115,3.478,"ldr: 20,cmp: 13,bne: 8,add: 6,bl: 5,stm.w: 5,eors: 4,lsrs: 3,asrs: 3,mov: 3,b: 3,str: 3,push: 3,pop: 2,movs: 2,add.w: 1,ldm.w: 1,beq: 1,bx: 1,nop: 1"
"Glitch(1),Glitch(6),Glitch(6),Glitch(6)",6,88,6.818,"ldr: 19,cmp: 18,bne: 12,add: 10,bl: 7,stm.w: 7,eors: 6,asrs: 6,lsrs: 6,str: 6,b: 6,push: 5,ldm.w: 4,movs: 2"
"Glitch(1),Glitch(6),Glitch(7),Glitch(8)",1,117,0.855,"cmp: 4,ldr: 3,add: 2,stm.w: 2,bne: 2,bl: 1,pop: 1,str: 1,mov: 1,lsrs: 1,push: 1,asrs: 1,b: 1,eors: 1"
"Glitch(1),Glitch(6),Glitch(8),Glitch(7)",2,80,2.500,"ldr: 12,stm.w: 4,add: 4,beq: 2,eors: 2,movs: 2,str: 2,bl: 2,add.w: 2,cmp: 2,asrs: 2,bne: 2,b: 2,ldm.w: 2,lsrs: 1,push: 1"
"Glitch(1),Glitch(6),Glitch(8),Glitch(10)",1,85,1.176,"ldr: 4,mov: 2,bl: 2,add: 2,cmp: 2,bne: 2,b: 1,asrs: 1,nop: 1,eors: 1,push: 1,ldm.w: 1,stm.w: 1,lsrs: 1,bx: 1,pop: 1,str: 1"
"Glitch(1),Glitch(6),Glitch(9),Glitch(8)",1,18,5.556,"cmp: 4,ldr: 4,bl: 2,add: 2,mov: 2,bne: 2,stm: 1,asrs: 1,beq: 1,lsrs: 1,str: 1,b: 1,push: 1,movs: 1"
"Glitch(1),Glitch(6),Glitch(10),Glitch(2)",2,88,2.273,"cmp: 8,ldr: 8,bl: 5,bne: 4,stm.w: 4,eors: 2,mov: 2,add: 2,beq: 1,str: 1,b: 1"
"Glitch(1),Glitch(6),Glitch(10),Glitch(6)",5,140,3.571,"ldr: 26,cmp: 15,bl: 10,bne: 10,add: 9,stm.w: 6,push: 5,eors: 5,mov: 5,b: 5,str: 5,lsrs: 4,stm: 4,asrs: 4,movs: 2"
"Glitch(1),Glitch(6),Glitch(10),Glitch(8)",1,149,0.671,"ldr: 6,cmp: 3,bl: 2,bne: 2,add: 2,b: 1,beq: 1,lsrs: 1,asrs: 1,eors: 1,stm: 1,mov: 1,str: 1,movs: 1,push: 1"
"Glitch(1),Glitch(7),Glitch(1),Glitch(6)",2,64,3.125,"ldr: 5,cmp: 4,bne: 4,add: 2,bl: 2,b: 2,push: 2,stm.w: 2,str: 2,beq: 2,movs: 1,lsrs: 1,asrs: 1"
"Glitch(1),Glitch(7),Glitch(3),Glitch(8)",2,38,5.263,"ldr: 8,bne: 4,cmp: 4,add: 2,mov: 2,str: 2,b: 2,ldm.w: 2,asrs: 2,stm.w: 2,lsrs: 2,add.w: 2,push: 2,pop: 1,movs: 1"
"Glitch(1),Glitch(7),Glitch(4),Glitch(7)",1,90,1.111,"ldr: 4,bne: 2,cmp: 2,mov: 1,add.w: 1,stm.w: 1,b: 1,eors: 1,asrs: 1,lsrs: 1,push: 1,ldm.w: 1,str: 1,add: 1"
"Glitch(1),Glitch(7),Glitch(5),Glitch(7)",1,107,0.935,"ldr: 4,cmp: 3,bne: 2,bl: 2,add: 2,lsrs: 1,stm.w: 1,ldm.w: 1,str: 1,asrs: 1,b: 1,movs: 1"
