Instruction,Targeted,Relative
str,1,0.3210170075
cmp,3,0.1507496417
movs,1,0.1394159458
bl,4,0.0838391185
stm.w,2,0.0516105240
eors,2,0.0429188217
push,2,0.0385451655
beq,3,0.0334127438
mov,2,0.0309723213
ldm.w,2,0.0286800168
add,7,0.0280294650
ldr,18,0.0277758753
pop,1,0.0254495249
add.w,2,0.0194554983
stm,1,0.0106477147
bx,2,0.0076709668
sub,1,0.0000000000
strd,1,0.0000000000
