Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(4),Glitch(8)",2,61,3.279,"add: 4,bne: 4,cmp: 4,push: 2,b: 2,mov: 2,lsrs: 2,asrs: 2,str: 2,ldr: 2,pop: 1,movs: 1"
"Glitch(1),Glitch(1),Glitch(6),Glitch(9)",3,23,13.043,"ldr: 9,add: 6,bne: 6,pop: 3,str: 3,push: 3,b: 3,cmp: 3,mov: 3,lsrs: 3,eors: 3,asrs: 3,bx: 2,movs: 1"
"Glitch(1),Glitch(1),Glitch(9),Glitch(4)",3,91,3.297,"ldr: 12,bne: 6,mov: 3,str: 3,bl: 3,eors: 3,cmp: 3,b: 3,asrs: 3,lsrs: 3,add: 3"
"Glitch(1),Glitch(2),Glitch(4),Glitch(5)",3,105,2.857,"cmp: 9,bne: 6,add: 3,lsrs: 3,b: 3,str: 3,push: 3,ldr: 3,asrs: 3"
"Glitch(1),Glitch(2),Glitch(4),Glitch(7)",3,153,1.961,"ldr: 8,bne: 6,str: 3,cmp: 3,add: 3,bl: 3,eors: 3,b: 3,asrs: 3,push: 2,movs: 2,lsrs: 2,mov: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(3)",3,69,4.348,"ldr: 6,cmp: 6,bl: 6,bne: 6,str: 3,eors: 3,add: 3,b: 3,asrs: 3,stm.w: 3"
"Glitch(1),Glitch(2),Glitch(8),Glitch(10)",2,55,3.636,"bne: 4,cmp: 4,bl: 4,ldr: 4,add: 4,mov: 4,push: 2,bx: 2,eors: 2,pop: 2,asrs: 2,str: 2,lsrs: 2,b: 2,movs: 1,nop: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(2)",2,71,2.817,"ldr: 6,cmp: 6,bne: 4,bl: 3,mov: 2,stm: 2,add: 2,eors: 2,b: 1,str: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(1),Glitch(7)",2,24,8.333,"cmp: 4,bne: 4,lsrs: 2,add: 2,str: 2,b: 2,bl: 2,push: 2,asrs: 2,mov: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(10)",3,59,5.085,"ldr: 9,cmp: 7,bne: 6,add: 3,nop: 2,asrs: 2,push: 2,pop: 2,b: 2,mov: 2,str: 2,lsrs: 2,bx: 2,beq: 1,bl: 1,add.w: 1,stm.w: 1,ldm.w: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(5)",2,105,1.905,"ldr: 6,cmp: 4,bne: 4,eors: 2,b: 2,lsrs: 2,push: 2,str: 2,asrs: 2"
"Glitch(1),Glitch(3),Glitch(7),Glitch(2)",6,78,7.692,"ldr: 18,cmp: 12,bne: 12,bl: 12,eors: 6,add: 6,b: 5,str: 5,beq: 1,stm.w: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(2)",4,69,5.797,"bne: 8,cmp: 8,ldr: 8,str: 4,b: 4,bl: 4"
"Glitch(1),Glitch(4),Glitch(3),Glitch(4)",5,64,7.812,"cmp: 12,bne: 10,ldr: 6,b: 5,bl: 5,str: 5,add: 4,asrs: 4,lsrs: 3,eors: 2,movs: 2,beq: 2"
"Glitch(1),Glitch(4),Glitch(3),Glitch(10)",2,54,3.704,"cmp: 6,bne: 4,add: 3,str: 2,b: 2,pop: 2,mov: 2,ldr: 2,bl: 2,asrs: 2,lsrs: 2,push: 2,beq: 2,bx: 1,movs: 1,nop: 1"
"Glitch(1),Glitch(4),Glitch(5),Glitch(6)",3,171,1.754,"ldr: 9,cmp: 9,bne: 6,str: 3,asrs: 3,add: 3,lsrs: 3,eors: 3,b: 3,bl: 3,push: 2,movs: 1"
"Glitch(1),Glitch(4),Glitch(6),Glitch(3)",1,98,1.020,"cmp: 3,bne: 2,ldr: 2,add: 1,str: 1,stm.w: 1,eors: 1,asrs: 1,b: 1,bl: 1"
"Glitch(1),Glitch(5),Glitch(1),Glitch(4)",3,60,5.000,"ldr: 6,bne: 6,b: 3,asrs: 3,cmp: 3,str: 3,bl: 3,stm.w: 3,lsrs: 2,movs: 1"
"Glitch(1),Glitch(5),Glitch(2),Glitch(7)",2,56,3.571,"cmp: 6,bne: 4,str: 2,b: 2,ldr: 2,bl: 2,push: 2,lsrs: 2,beq: 2,mov: 2,asrs: 2,add: 2"
"Glitch(1),Glitch(5),Glitch(3),Glitch(8)",3,39,7.692,"cmp: 10,add: 6,bne: 6,ldr: 6,beq: 4,bl: 4,str: 2,asrs: 2,push: 2,b: 2,lsrs: 2,mov: 1,ldm.w: 1,stm.w: 1,movs: 1,pop: 1"
"Glitch(1),Glitch(5),Glitch(4),Glitch(5)",1,85,1.176,"ldr: 4,b: 1,push: 1,bne: 1,add.w: 1,bl: 1,add: 1,lsrs: 1,str: 1,stm.w: 1,ldm.w: 1,asrs: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(4)",3,61,4.918,"ldr: 9,stm.w: 6,cmp: 6,bne: 6,bl: 3,eors: 3,str: 3,b: 3,lsrs: 2,asrs: 2,movs: 1,add: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(8)",1,117,0.855,"cmp: 4,ldr: 2,add: 2,bne: 2,eors: 1,bl: 1,str: 1,b: 1,asrs: 1,pop: 1,mov: 1,push: 1,lsrs: 1"
"Glitch(1),Glitch(5),Glitch(5),Glitch(10)",2,44,4.545,"cmp: 6,bne: 4,ldr: 4,stm.w: 4,b: 2,mov: 2,bl: 2,eors: 2,lsrs: 2,bx: 2,add: 2,str: 2,pop: 2,asrs: 2,push: 2,movs: 1,nop: 1"
"Glitch(1),Glitch(5),Glitch(6),Glitch(4)",2,31,6.452,"ldr: 6,bne: 4,cmp: 4,bl: 4,add: 3,eors: 2,stm.w: 2,b: 2,str: 2,asrs: 1,movs: 1,lsrs: 1"
"Glitch(1),Glitch(5),Glitch(8),Glitch(3)",1,82,1.220,"cmp: 4,bl: 2,ldr: 2,bne: 2,add: 1,asrs: 1,eors: 1,beq: 1,str: 1,b: 1,stm.w: 1"
"Glitch(1),Glitch(5),Glitch(9),Glitch(6)",2,85,2.353,"cmp: 8,ldr: 7,bne: 4,bl: 4,add: 4,str: 2,eors: 2,b: 2,mov: 2,asrs: 2,beq: 2,push: 1,lsrs: 1,movs: 1"
"Glitch(1),Glitch(5),Glitch(10),Glitch(3)",4,77,5.195,"ldr: 20,cmp: 16,bl: 8,bne: 8,b: 4,add: 4,mov: 4,eors: 4,str: 4,asrs: 3,movs: 1"
"Glitch(1),Glitch(5),Glitch(10),Glitch(4)",3,114,2.632,"ldr: 21,b: 3,bne: 3,bl: 3,ldm.w: 3,lsrs: 3,stm.w: 3,eors: 3,str: 3,cmp: 3,add.w: 3,asrs: 3,add: 3,mov: 3"
"Glitch(1),Glitch(6),Glitch(2),Glitch(8)",2,58,3.448,"ldr: 7,bne: 4,cmp: 4,stm.w: 2,lsrs: 2,bl: 2,b: 2,add: 2,str: 2,asrs: 2,push: 2,movs: 1,pop: 1,mov: 1"
"Glitch(1),Glitch(6),Glitch(4),Glitch(4)",5,140,3.571,"cmp: 18,ldr: 12,bne: 10,b: 5,lsrs: 5,str: 5,eors: 5,asrs: 5,stm.w: 5,bl: 3,ldm.w: 2"
"Glitch(1),Glitch(6),Glitch(4),Glitch(10)",3,93,3.226,"cmp: 9,ldr: 9,add: 7,bne: 6,mov: 3,str: 3,pop: 3,bl: 3,b: 3,push: 3,beq: 3,asrs: 3,lsrs: 3,bx: 2,nop: 2,movs: 1"
