Instruction,Targeted,Relative
str,1,0.3215496480
cmp,3,0.1548333342
movs,1,0.1334671894
bl,4,0.0845095149
stm.w,2,0.0523808536
eors,2,0.0414995771
push,2,0.0380601602
beq,3,0.0332542625
mov,2,0.0318730040
ldm.w,2,0.0298333123
add,7,0.0286205800
ldr,18,0.0282052017
pop,1,0.0253624391
add.w,2,0.0197011886
stm,1,0.0107329940
bx,2,0.0080317618
sub,1,0.0000000000
strd,1,0.0000000000
