Instruction,Targeted,Relative
str,1,0.3268609639
cmp,3,0.1484528878
movs,1,0.1362730757
bl,4,0.0849483180
stm.w,2,0.0527648037
eors,2,0.0406386077
push,2,0.0385083867
beq,3,0.0325850616
mov,2,0.0323240113
ldm.w,2,0.0295051993
add,7,0.0285174116
ldr,18,0.0281736310
pop,1,0.0257996249
add.w,2,0.0201068460
stm,1,0.0112492397
bx,2,0.0077732157
strd,1,0.0000000000
sub,1,0.0000000000
