Instruction,Targeted,Relative
str,1,0.3151242214
cmp,3,0.1502533149
movs,1,0.1297448288
bl,4,0.0806885794
stm.w,2,0.0512756331
eors,2,0.0399321166
push,2,0.0366842078
beq,3,0.0329505680
mov,2,0.0304017762
ldm.w,2,0.0295626956
ldr,18,0.0276931377
add,7,0.0271728639
pop,1,0.0230910583
add.w,2,0.0189043847
stm,1,0.0116918219
bx,2,0.0066670235
strd,1,0.0000000000
sub,1,0.0000000000
