Instruction,Targeted,Relative
str,1,0.3160282710
cmp,3,0.1483584556
movs,1,0.1264798747
bl,4,0.0805272976
stm.w,2,0.0522776358
eors,2,0.0408529317
push,2,0.0362157978
beq,3,0.0316868069
mov,2,0.0304960193
ldm.w,2,0.0297134537
add,7,0.0274976584
ldr,18,0.0270798701
pop,1,0.0235361303
add.w,2,0.0189812324
stm,1,0.0106934854
bx,2,0.0066558555
strd,1,0.0000224195
sub,1,0.0000000000
