Instruction,Targeted,Relative
pop,1,0.4350970018
movs,1,0.4350970018
beq,1,0.2016754850
bl,5,0.1694973545
add,6,0.0684744268
cmp,1,0.0608024691
ldr,8,0.0593033510
mov,1,0.0000000000
str,1,0.0000000000
bx,3,0.0000000000
push,3,0.0000000000
