Attack Vectors,Successful Attacks,Executed Attacks,Success Rate (%),Targeted Instructions
"Glitch(1),Glitch(1),Glitch(1),Glitch(5)",2,65,3.077,"bne: 4,cmp: 2,push: 2,b: 2,asrs: 2,str: 2,lsrs: 2"
"Glitch(1),Glitch(1),Glitch(1),Glitch(10)",2,32,6.250,"bne: 4,push: 3,add: 3,cmp: 2,asrs: 2,lsrs: 2,b: 2,str: 2,movs: 1,bx: 1,nop: 1,mov: 1,ldr: 1,pop: 1"
"Glitch(1),Glitch(1),Glitch(4),Glitch(5)",3,67,4.478,"bne: 6,cmp: 6,ldr: 4,add: 4,b: 3,str: 3,movs: 2,asrs: 2,lsrs: 2,push: 1"
"Glitch(1),Glitch(1),Glitch(4),Glitch(6)",7,102,6.863,"cmp: 16,bne: 14,ldr: 11,add: 8,b: 5,str: 5,asrs: 4,push: 4,lsrs: 3,eors: 3,movs: 3,beq: 2,stm.w: 2,ldm.w: 2,bl: 2"
"Glitch(1),Glitch(1),Glitch(4),Glitch(7)",1,42,2.381,"bne: 2,add: 2,b: 1,cmp: 1,push: 1,str: 1,ldr: 1,movs: 1,asrs: 1,lsrs: 1,bl: 1"
"Glitch(1),Glitch(1),Glitch(5),Glitch(10)",3,209,1.435,"ldr: 10,cmp: 7,bne: 6,add: 5,eors: 3,mov: 2,push: 2,asrs: 2,b: 2,lsrs: 2,str: 2,movs: 2,pop: 1,add.w: 1,stm.w: 1,bl: 1,ldm.w: 1,beq: 1"
"Glitch(1),Glitch(1),Glitch(6),Glitch(4)",2,91,2.198,"cmp: 4,bne: 4,bl: 2,b: 2,ldr: 2,asrs: 2,add: 2,eors: 2,str: 2,lsrs: 1,movs: 1"
"Glitch(1),Glitch(1),Glitch(7),Glitch(3)",3,51,5.882,"cmp: 7,ldr: 6,bne: 6,eors: 3,stm.w: 3,add: 3,str: 2,b: 2,asrs: 2,beq: 1,bl: 1"
"Glitch(1),Glitch(1),Glitch(7),Glitch(7)",1,58,1.724,"ldr: 3,cmp: 2,add: 2,bne: 2,eors: 1,b: 1,asrs: 1,str: 1,push: 1,stm.w: 1,movs: 1"
"Glitch(1),Glitch(1),Glitch(8),Glitch(5)",4,113,3.540,"ldr: 13,bne: 8,cmp: 5,bl: 5,add: 5,stm.w: 5,eors: 4,b: 3,asrs: 3,str: 3,lsrs: 2,push: 2,movs: 1,beq: 1"
"Glitch(1),Glitch(1),Glitch(10),Glitch(3)",3,231,1.299,"ldr: 12,bne: 6,cmp: 6,asrs: 3,add: 3,eors: 3,mov: 3,b: 3,str: 3,bl: 3"
"Glitch(1),Glitch(2),Glitch(1),Glitch(2)",4,92,4.348,"bne: 8,str: 4,b: 4,ldr: 4,cmp: 2,bl: 2"
"Glitch(1),Glitch(2),Glitch(3),Glitch(9)",3,45,6.667,"ldr: 7,add: 7,bne: 6,cmp: 4,asrs: 3,movs: 3,lsrs: 3,str: 3,push: 3,b: 3,mov: 2,pop: 1"
"Glitch(1),Glitch(2),Glitch(4),Glitch(3)",3,129,2.326,"cmp: 6,ldr: 6,bne: 6,eors: 3,str: 2,b: 2,asrs: 2,ldm.w: 1,add.w: 1,stm.w: 1"
"Glitch(1),Glitch(2),Glitch(4),Glitch(6)",3,51,5.882,"ldr: 7,bne: 6,add: 5,cmp: 4,str: 3,b: 3,asrs: 2,bl: 2,push: 2,movs: 2,lsrs: 2,eors: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(4)",3,52,5.769,"cmp: 9,bne: 6,stm.w: 3,ldr: 3,eors: 3,b: 3,str: 3,asrs: 2,movs: 2,lsrs: 1,add: 1"
"Glitch(1),Glitch(2),Glitch(5),Glitch(8)",6,60,10.000,"cmp: 17,add: 13,bne: 12,ldr: 9,asrs: 6,push: 6,lsrs: 6,str: 6,b: 6,movs: 5,eors: 4,bl: 3,mov: 2,pop: 1"
"Glitch(1),Glitch(2),Glitch(7),Glitch(9)",4,182,2.198,"ldr: 15,add: 8,bne: 8,push: 7,bl: 6,cmp: 5,lsrs: 4,str: 4,asrs: 4,movs: 4,eors: 4,b: 4,mov: 1,stm.w: 1,pop: 1"
"Glitch(1),Glitch(2),Glitch(8),Glitch(9)",4,22,18.182,"ldr: 10,cmp: 9,bl: 9,add: 8,bne: 8,mov: 7,eors: 4,b: 3,pop: 3,push: 3,str: 3,bx: 3,lsrs: 3,asrs: 3,stm.w: 1,add.w: 1,ldm.w: 1,beq: 1"
"Glitch(1),Glitch(2),Glitch(10),Glitch(4)",3,84,3.571,"cmp: 10,ldr: 10,bne: 6,bl: 4,add: 4,eors: 3,mov: 3,stm.w: 3,str: 2,b: 2,lsrs: 1,asrs: 1,beq: 1,movs: 1"
"Glitch(1),Glitch(3),Glitch(2),Glitch(3)",2,120,1.667,"cmp: 6,bne: 4,ldr: 2,b: 1,ldm.w: 1,str: 1,asrs: 1,stm.w: 1,add.w: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(9)",1,111,0.901,"ldr: 3,add: 3,bne: 2,asrs: 1,str: 1,movs: 1,push: 1,bl: 1,cmp: 1,b: 1,lsrs: 1"
"Glitch(1),Glitch(3),Glitch(3),Glitch(10)",5,61,8.197,"cmp: 17,ldr: 14,bne: 10,add: 6,b: 3,push: 3,str: 3,mov: 3,lsrs: 3,pop: 3,asrs: 3,beq: 2,eors: 2,movs: 2,bx: 2,bl: 2,ldm.w: 2,add.w: 2,stm.w: 2,nop: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(1)",2,41,4.878,"cmp: 5,bne: 4,ldr: 4,bl: 3,add: 1,eors: 1"
"Glitch(1),Glitch(3),Glitch(4),Glitch(2)",2,91,2.198,"cmp: 5,bl: 4,bne: 4,ldr: 2,str: 1,add: 1,eors: 1,b: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(2)",1,135,0.741,"cmp: 3,ldr: 2,bne: 2,b: 1,str: 1,bl: 1,add: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(3)",4,32,12.500,"ldr: 12,bne: 8,cmp: 8,add: 4,b: 3,asrs: 3,str: 3,bl: 3,eors: 1,add.w: 1,ldm.w: 1,stm.w: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(4)",6,87,6.897,"ldr: 19,cmp: 13,bne: 12,add: 8,str: 5,b: 5,bl: 4,eors: 3,asrs: 3,lsrs: 3,movs: 2,beq: 1"
"Glitch(1),Glitch(3),Glitch(5),Glitch(5)",6,119,5.042,"cmp: 19,ldr: 16,bne: 12,bl: 6,add: 6,b: 5,str: 5,movs: 4,asrs: 3,eors: 3,lsrs: 2,stm.w: 1,push: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(3)",1,91,1.099,"ldr: 3,cmp: 3,bne: 2,asrs: 1,eors: 1,str: 1,stm.w: 1,b: 1"
"Glitch(1),Glitch(3),Glitch(6),Glitch(10)",2,23,8.696,"ldr: 7,add: 5,cmp: 4,bne: 4,eors: 2,b: 2,mov: 2,push: 2,bl: 2,lsrs: 2,asrs: 2,str: 2,pop: 1,movs: 1,bx: 1,nop: 1"
"Glitch(1),Glitch(3),Glitch(8),Glitch(5)",3,49,6.122,"ldr: 12,bl: 7,bne: 6,cmp: 5,mov: 3,add: 3,lsrs: 2,push: 2,stm: 2,str: 2,asrs: 2,b: 2,stm.w: 1,eors: 1,beq: 1"
"Glitch(1),Glitch(3),Glitch(9),Glitch(8)",4,42,9.524,"ldr: 13,cmp: 12,add: 9,bne: 8,bl: 8,mov: 6,push: 4,lsrs: 4,str: 4,eors: 4,b: 4,asrs: 4,pop: 2,movs: 2"
"Glitch(1),Glitch(3),Glitch(10),Glitch(4)",1,98,1.020,"ldr: 6,cmp: 3,bl: 3,bne: 2,mov: 1,beq: 1,eors: 1,add: 1"
"Glitch(1),Glitch(4),Glitch(1),Glitch(5)",2,44,4.545,"cmp: 5,bne: 4,ldr: 4,stm.w: 3,beq: 1,add: 1,str: 1,b: 1,movs: 1,bl: 1"
"Glitch(1),Glitch(4),Glitch(1),Glitch(6)",1,35,2.857,"ldr: 3,bne: 2,b: 1,cmp: 1,bl: 1,str: 1,add: 1,push: 1,movs: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(1)",1,82,1.220,"cmp: 3,bne: 2,bl: 2,ldr: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(2)",2,102,1.961,"cmp: 5,bne: 4,bl: 3,beq: 2,ldr: 2,b: 1,str: 1"
"Glitch(1),Glitch(4),Glitch(2),Glitch(5)",3,107,2.804,"cmp: 6,bne: 6,ldr: 6,stm.w: 3,b: 3,str: 3,asrs: 3,movs: 2,lsrs: 2,push: 1,add: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(2)",1,75,1.333,"cmp: 3,ldr: 2,bne: 2,str: 1,b: 1,stm.w: 1"
"Glitch(1),Glitch(4),Glitch(3),Glitch(3)",2,50,4.000,"bne: 4,cmp: 4,ldr: 3,bl: 2,b: 2,beq: 2,str: 2,eors: 1,movs: 1,asrs: 1"
