Instruction,Targeted,Relative
b,59,0.661016949152542
movs,59,0.508474576271186
ldr,354,0.290960451977401
adds,59,0.271186440677966
bl,170,0.247058823529412
mov,112,0.232142857142857
str,224,0.156250000000000
add,316,0.148734177215190
bne,2478,0.106537530266344
cbz,59,0.101694915254237
cmp,2478,0.088781275221953
ldrb,2478,0.028652138821630
push,126,0.023809523809524
blo,59,0.000000000000000
mov.w,59,0.000000000000000
bx,176,0.000000000000000
pop,115,0.000000000000000
