Instruction,Targeted,Relative
str,1,0.2988580884
cmp,3,0.1517644817
movs,1,0.1423947898
bl,4,0.0827213671
stm.w,2,0.0534939329
eors,2,0.0432800804
push,2,0.0363135296
beq,3,0.0325050312
mov,2,0.0309952335
ldm.w,2,0.0305753622
ldr,18,0.0288852358
add,7,0.0284478693
pop,1,0.0225985239
add.w,2,0.0203990212
stm,1,0.0109546361
bx,2,0.0067665060
strd,1,0.0000000000
sub,1,0.0000000000
