Instruction,Targeted,Relative
str,1,0.3068785902
cmp,3,0.1528158135
movs,1,0.1399715082
bl,4,0.0846071399
stm.w,2,0.0527009479
eors,2,0.0427158588
push,2,0.0364351068
beq,3,0.0314053266
mov,2,0.0303679185
ldm.w,2,0.0297165769
add,7,0.0284693292
ldr,18,0.0281198413
pop,1,0.0239030298
add.w,2,0.0188670825
stm,1,0.0106459313
bx,2,0.0072041611
strd,1,0.0000000000
sub,1,0.0000000000
